Date,Close/Last,Volume,Open,High,Low,Day
02/24/2020,69.42,49 565 560.00,71.65,71.91,69.12,0
02/25/2020,69.66,44 080 740.00,69.81,70.79,68.95,1
02/26/2020,65.90,59 566 000.00,68.10,68.59,65.86,2
02/27/2020,66.97,75 812 360.00,63.88,67.06,63.55,3
02/28/2020,69.46,48 629 360.00,67.58,69.54,66.34,4
03/02/2020,67.07,48 046 520.00,69.97,70.51,66.60,5
03/03/2020,69.33,38 266 300.00,67.96,69.40,67.16,6
03/04/2020,65.95,51 225 760.00,67.51,67.95,65.26,7
03/05/2020,64.92,53 212 560.00,63.85,65.31,63.05,8
03/06/2020,60.78,67 307 300.00,60.27,62.74,60.00,9
03/09/2020,64.02,52 227 460.00,63.00,64.06,60.94,10
03/10/2020,60.77,52 224 580.00,62.49,63.05,59.80,11
03/11/2020,55.75,84 534 960.00,56.30,59.69,55.67,12
03/12/2020,60.99,74 002 500.00,58.95,60.99,55.86,13
03/13/2020,54.22,85 047 300.00,54.80,57.61,53.72,14
03/16/2020,55.99,77 229 780.00,54.66,56.54,52.80,15
03/17/2020,54.84,84 668 700.00,52.83,55.33,51.86,16
03/18/2020,55.76,73 022 120.00,54.65,57.90,53.01,17
03/19/2020,53.62,72 035 000.00,56.79,57.20,53.27,18
03/20/2020,52.83,80 882 740.00,53.07,53.57,50.68,19
03/23/2020,56.72,66 889 000.00,55.19,56.75,54.53,20
03/24/2020,55.12,81 630 560.00,56.32,57.45,54.30,21
03/25/2020,58.09,71 475 100.00,55.59,58.50,54.68,22
03/26/2020,55.54,64 169 900.00,56.28,57.53,55.30,23
03/27/2020,57.34,51 481 220.00,56.25,57.58,54.82,24
03/30/2020,58.14,49 759 660.00,57.37,58.77,56.91,25
03/31/2020,55.28,46 883 460.00,56.10,56.48,54.87,26
04/01/2020,56.04,39 297 620.00,54.91,56.34,54.82,27
04/02/2020,54.89,46 268 000.00,55.95,56.18,53.99,28
04/03/2020,59.35,53 294 460.00,56.90,59.73,56.55,29
04/06/2020,59.33,47 746 580.00,61.05,61.25,59.11,30
04/07/2020,60.51,39 502 700.00,60.33,60.95,59.41,31
04/08/2020,60.57,43 508 420.00,61.20,61.28,59.84,32
04/09/2020,60.88,34 796 560.00,60.46,61.03,59.38,33
04/13/2020,63.46,49 407 060.00,62.25,64.10,61.85,34
04/14/2020,63.12,33 434 060.00,62.28,64.02,62.02,35
04/15/2020,63.17,50 361 980.00,63.71,63.95,62.13,36
04/16/2020,64.16,38 980 840.00,64.24,64.72,63.56,37
04/17/2020,63.33,33 909 760.00,63.55,64.08,63.07,38
04/20/2020,60.82,43 060 060.00,62.35,62.71,60.49,39
04/21/2020,63.16,41 862 800.00,62.28,64.28,62.10,40
